Date,Currency,Exchange
2022-02-05,CAD,1.2524
2022-02-05,AUD,1.281
2022-02-05,EUR,0.8764
2022-02-05,GBP,0.6557
2022-02-06,USD,1.0
2022-02-06,CAD,1.2445
2022-02-06,AUD,1.273
2022-02-06,EUR,0.8736
2022-02-06,GBP,0.6528
2022-02-07,USD,1.0
2022-02-07,CAD,1.2445
2022-02-07,AUD,1.273
2022-02-07,EUR,0.8736
2022-02-07,GBP,0.6528
2022-02-08,USD,1.0
2022-02-08,CAD,1.2445
2022-02-08,AUD,1.273
2022-02-08,EUR,0.8736
2022-02-08,GBP,0.6528
2022-02-09,USD,1.0
2022-02-09,CAD,1.25
2022-02-09,AUD,1.2798
2022-02-09,EUR,0.8869
2022-02-09,GBP,0.6576
2022-02-10,USD,1.0
2022-02-10,CAD,1.2471
2022-02-10,AUD,1.2855
2022-02-10,EUR,0.8852
2022-02-10,GBP,0.6568
2022-02-11,USD,1.0
2022-02-11,CAD,1.2611
2022-02-11,AUD,1.291
2022-02-11,EUR,0.8839
2022-02-11,GBP,0.6537
2022-02-12,USD,1.0
2022-02-12,CAD,1.256
2022-02-12,AUD,1.3031
2022-02-12,EUR,0.8828
2022-02-12,GBP,0.6511
2022-02-13,USD,1.0
2022-02-13,CAD,1.2508
2022-02-13,AUD,1.2907
2022-02-13,EUR,0.8787
2022-02-13,GBP,0.6503
2022-02-14,USD,1.0
2022-02-14,CAD,1.2508
2022-02-14,AUD,1.2907
2022-02-14,EUR,0.8787
2022-02-14,GBP,0.6503
2022-02-15,USD,1.0
2022-02-15,CAD,1.2508
2022-02-15,AUD,1.2907
2022-02-15,EUR,0.8787
2022-02-15,GBP,0.6503
2022-02-16,USD,1.0
2022-02-16,CAD,1.2453
2022-02-16,AUD,1.2859
2022-02-16,EUR,0.8766
2022-02-16,GBP,0.6505
2022-02-17,USD,1.0
2022-02-17,CAD,1.2374
2022-02-17,AUD,1.2784
2022-02-17,EUR,0.876
2022-02-17,GBP,0.6512
2022-02-18,USD,1.0
2022-02-18,CAD,1.245
2022-02-18,AUD,1.2837
2022-02-18,EUR,0.8794
2022-02-18,GBP,0.6483
2022-02-19,USD,1.0
2022-02-19,CAD,1.252
2022-02-19,AUD,1.285
2022-02-19,EUR,0.8782
2022-02-19,GBP,0.648
2022-02-20,USD,1.0
2022-02-20,CAD,1.2456
2022-02-20,AUD,1.2745
2022-02-20,EUR,0.8851
2022-02-20,GBP,0.6504
2022-02-21,USD,1.0
2022-02-21,CAD,1.2456
2022-02-21,AUD,1.2745
2022-02-21,EUR,0.8851
2022-02-21,GBP,0.6504
2022-02-22,USD,1.0
2022-02-22,CAD,1.2456
2022-02-22,AUD,1.2745
2022-02-22,EUR,0.8851
2022-02-22,GBP,0.6504
2022-02-23,USD,1.0
2022-02-23,CAD,1.2618
2022-02-23,AUD,1.2843
2022-02-23,EUR,0.8851
2022-02-23,GBP,0.6507
2022-02-24,USD,1.0
2022-02-24,CAD,1.2643
2022-02-24,AUD,1.2896
2022-02-24,EUR,0.8828
2022-02-24,GBP,0.6483
2022-02-25,USD,1.0
2022-02-25,CAD,1.2441
2022-02-25,AUD,1.2681
2022-02-25,EUR,0.8814
2022-02-25,GBP,0.6459
2022-02-26,USD,1.0
2022-02-26,CAD,1.247
2022-02-26,AUD,1.2686
2022-02-26,EUR,0.8836
2022-02-26,GBP,0.6451
2022-02-27,USD,1.0
2022-02-27,CAD,1.2451
2022-02-27,AUD,1.2774
2022-02-27,EUR,0.8897
2022-02-27,GBP,0.6475
2022-02-28,USD,1.0
2022-02-28,CAD,1.2451
2022-02-28,AUD,1.2774
2022-02-28,EUR,0.8897
2022-02-28,GBP,0.6475
2022-03-01,USD,1.0
2022-03-01,CAD,1.2451
2022-03-01,AUD,1.2774
2022-03-01,EUR,0.8897
2022-03-01,GBP,0.6475
2022-03-02,USD,1.0
2022-03-02,CAD,1.2492
2022-03-02,AUD,1.2856
2022-03-02,EUR,0.8907
2022-03-02,GBP,0.6497
2022-03-03,USD,1.0
2022-03-03,CAD,1.2519
2022-03-03,AUD,1.2794
2022-03-03,EUR,0.8954
2022-03-03,GBP,0.6515
2022-03-04,USD,1.0
2022-03-04,CAD,1.2515
2022-03-04,AUD,1.2757
2022-03-04,EUR,0.899
2022-03-04,GBP,0.6526
2022-03-05,USD,1.0
2022-03-05,CAD,1.244
2022-03-05,AUD,1.2833
2022-03-05,EUR,0.9034
2022-03-05,GBP,0.6551
2022-03-06,USD,1.0
2022-03-06,CAD,1.2466
2022-03-06,AUD,1.2761
2022-03-06,EUR,0.9122
2022-03-06,GBP,0.6586
2022-03-07,USD,1.0
2022-03-07,CAD,1.2466
2022-03-07,AUD,1.2761
2022-03-07,EUR,0.9122
2022-03-07,GBP,0.6586
2022-03-08,USD,1.0
2022-03-08,CAD,1.2466
2022-03-08,AUD,1.2761
2022-03-08,EUR,0.9122
2022-03-08,GBP,0.6586
2022-03-09,USD,1.0
2022-03-09,CAD,1.2591
2022-03-09,AUD,1.2931
2022-03-09,EUR,0.9208
2022-03-09,GBP,0.6617
2022-03-10,USD,1.0
2022-03-10,CAD,1.2634
2022-03-10,AUD,1.3069
2022-03-10,EUR,0.9313
2022-03-10,GBP,0.6638
2022-03-11,USD,1.0
2022-03-11,CAD,1.2698
2022-03-11,AUD,1.314
2022-03-11,EUR,0.9454
2022-03-11,GBP,0.6651
2022-03-12,USD,1.0
2022-03-12,CAD,1.2656
2022-03-12,AUD,1.2976
2022-03-12,EUR,0.9422
2022-03-12,GBP,0.6681
2022-03-13,USD,1.0
2022-03-13,CAD,1.2734
2022-03-13,AUD,1.3053
2022-03-13,EUR,0.9459
2022-03-13,GBP,0.6766
2022-03-14,USD,1.0
2022-03-14,CAD,1.2734
2022-03-14,AUD,1.3053
2022-03-14,EUR,0.9459
2022-03-14,GBP,0.6766
2022-03-15,USD,1.0
2022-03-15,CAD,1.2734
2022-03-15,AUD,1.3053
2022-03-15,EUR,0.9459
2022-03-15,GBP,0.6766
2022-03-16,USD,1.0
2022-03-16,CAD,1.2781
2022-03-16,AUD,1.3069
2022-03-16,EUR,0.9472
2022-03-16,GBP,0.6755
2022-03-17,USD,1.0
2022-03-17,CAD,1.2774
2022-03-17,AUD,1.3083
2022-03-17,EUR,0.9403
2022-03-17,GBP,0.677
2022-03-18,USD,1.0
2022-03-18,CAD,1.2824
2022-03-18,AUD,1.3124
2022-03-18,EUR,0.9441
2022-03-18,GBP,0.6826
2022-03-19,USD,1.0
2022-03-19,CAD,1.2717
2022-03-19,AUD,1.308
2022-03-19,EUR,0.9366
2022-03-19,GBP,0.6728
2022-03-20,USD,1.0
2022-03-20,CAD,1.2672
2022-03-20,AUD,1.2981
2022-03-20,EUR,0.928
2022-03-20,GBP,0.6733
2022-03-21,USD,1.0
2022-03-21,CAD,1.2672
2022-03-21,AUD,1.2981
2022-03-21,EUR,0.928
2022-03-21,GBP,0.6733
2022-03-22,USD,1.0
2022-03-22,CAD,1.2672
2022-03-22,AUD,1.2981
2022-03-22,EUR,0.928
2022-03-22,GBP,0.6733
2022-03-23,USD,1.0
2022-03-23,CAD,1.2525
2022-03-23,AUD,1.2773
2022-03-23,EUR,0.9164
2022-03-23,GBP,0.6706
2022-03-24,USD,1.0
2022-03-24,CAD,1.2465
2022-03-24,AUD,1.2642
2022-03-24,EUR,0.9132
2022-03-24,GBP,0.6707
2022-03-25,USD,1.0
2022-03-25,CAD,1.2482
2022-03-25,AUD,1.2676
2022-03-25,EUR,0.9103
2022-03-25,GBP,0.6705
2022-03-26,USD,1.0
2022-03-26,CAD,1.2442
2022-03-26,AUD,1.2749
2022-03-26,EUR,0.9113
2022-03-26,GBP,0.6717
2022-03-27,USD,1.0
2022-03-27,CAD,1.2509
2022-03-27,AUD,1.2841
2022-03-27,EUR,0.9211
2022-03-27,GBP,0.6723
2022-03-28,USD,1.0
2022-03-28,CAD,1.2509
2022-03-28,AUD,1.2841
2022-03-28,EUR,0.9211
2022-03-28,GBP,0.6723
2022-03-29,USD,1.0
2022-03-29,CAD,1.2509
2022-03-29,AUD,1.2841
2022-03-29,EUR,0.9211
2022-03-29,GBP,0.6723
2022-03-30,USD,1.0
2022-03-30,CAD,1.2641
2022-03-30,AUD,1.3055
2022-03-30,EUR,0.9221
2022-03-30,GBP,0.6757
2022-03-31,USD,1.0
2022-03-31,CAD,1.2769
2022-03-31,AUD,1.3155
2022-03-31,EUR,0.9295
2022-03-31,GBP,0.676
2022-04-01,USD,1.0
2022-04-01,CAD,1.2675
2022-04-01,AUD,1.3159
2022-04-01,EUR,0.9298
2022-04-01,GBP,0.6774
2022-04-02,USD,1.0
2022-04-02,CAD,1.2644
2022-04-02,AUD,1.3244
2022-04-02,EUR,0.9234
2022-04-02,GBP,0.6755
2022-04-03,USD,1.0
2022-04-03,CAD,1.2644
2022-04-03,AUD,1.3244
2022-04-03,EUR,0.9234
2022-04-03,GBP,0.6755
2022-04-04,USD,1.0
2022-04-04,CAD,1.2644
2022-04-04,AUD,1.3244
2022-04-04,EUR,0.9234
2022-04-04,GBP,0.6755
2022-04-05,USD,1.0
2022-04-05,CAD,1.2644
2022-04-05,AUD,1.3244
2022-04-05,EUR,0.9234
2022-04-05,GBP,0.6755
2022-04-06,USD,1.0
2022-04-06,CAD,1.2644
2022-04-06,AUD,1.3244
2022-04-06,EUR,0.9234
2022-04-06,GBP,0.6755
2022-04-07,USD,1.0
2022-04-07,CAD,1.2504
2022-04-07,AUD,1.3084
2022-04-07,EUR,0.9219
2022-04-07,GBP,0.6717
2022-04-08,USD,1.0
2022-04-08,CAD,1.2417
2022-04-08,AUD,1.2961
2022-04-08,EUR,0.9206
2022-04-08,GBP,0.6688
2022-04-09,USD,1.0
2022-04-09,CAD,1.2524
2022-04-09,AUD,1.2949
2022-04-09,EUR,0.9282
2022-04-09,GBP,0.6746
2022-04-10,USD,1.0
2022-04-10,CAD,1.2664
2022-04-10,AUD,1.3079
2022-04-10,EUR,0.9461
2022-04-10,GBP,0.6853
2022-04-11,USD,1.0
2022-04-11,CAD,1.2664
2022-04-11,AUD,1.3079
2022-04-11,EUR,0.9461
2022-04-11,GBP,0.6853
2022-04-12,USD,1.0
2022-04-12,CAD,1.2664
2022-04-12,AUD,1.3079
2022-04-12,EUR,0.9461
2022-04-12,GBP,0.6853
2022-04-13,USD,1.0
2022-04-13,CAD,1.2627
2022-04-13,AUD,1.3197
2022-04-13,EUR,0.9477
2022-04-13,GBP,0.6838
2022-04-14,USD,1.0
2022-04-14,CAD,1.2582
2022-04-14,AUD,1.3192
2022-04-14,EUR,0.9466
2022-04-14,GBP,0.6832
2022-04-15,USD,1.0
2022-04-15,CAD,1.255
2022-04-15,AUD,1.3182
2022-04-15,EUR,0.9453
2022-04-15,GBP,0.6776
2022-04-16,USD,1.0
2022-04-16,CAD,1.2305
2022-04-16,AUD,1.2875
2022-04-16,EUR,0.9336
2022-04-16,GBP,0.6712
2022-04-17,USD,1.0
2022-04-17,CAD,1.2191
2022-04-17,AUD,1.28
2022-04-17,EUR,0.9247
2022-04-17,GBP,0.6657
2022-04-18,USD,1.0
2022-04-18,CAD,1.2191
2022-04-18,AUD,1.28
2022-04-18,EUR,0.9247
2022-04-18,GBP,0.6657
2022-04-19,USD,1.0
2022-04-19,CAD,1.2191
2022-04-19,AUD,1.28
2022-04-19,EUR,0.9247
2022-04-19,GBP,0.6657
2022-04-20,USD,1.0
2022-04-20,CAD,1.2252
2022-04-20,AUD,1.2891
2022-04-20,EUR,0.9326
2022-04-20,GBP,0.671
2022-04-21,USD,1.0
2022-04-21,CAD,1.2229
2022-04-21,AUD,1.2917
2022-04-21,EUR,0.9346
2022-04-21,GBP,0.6717
2022-04-22,USD,1.0
2022-04-22,CAD,1.2242
2022-04-22,AUD,1.2842
2022-04-22,EUR,0.9308
2022-04-22,GBP,0.6636
2022-04-23,USD,1.0
2022-04-23,CAD,1.2226
2022-04-23,AUD,1.2938
2022-04-23,EUR,0.9283
2022-04-23,GBP,0.6656
2022-04-24,USD,1.0
2022-04-24,CAD,1.2119
2022-04-24,AUD,1.2827
2022-04-24,EUR,0.9239
2022-04-24,GBP,0.6614
2022-04-25,USD,1.0
2022-04-25,CAD,1.2119
2022-04-25,AUD,1.2827
2022-04-25,EUR,0.9239
2022-04-25,GBP,0.6614
2022-04-26,USD,1.0
2022-04-26,CAD,1.2119
2022-04-26,AUD,1.2827
2022-04-26,EUR,0.9239
2022-04-26,GBP,0.6614
2022-04-27,USD,1.0
2022-04-27,CAD,1.2156
2022-04-27,AUD,1.2814
2022-04-27,EUR,0.924
2022-04-27,GBP,0.6618
2022-04-28,USD,1.0
2022-04-28,CAD,1.2069
2022-04-28,AUD,1.2585
2022-04-28,EUR,0.9152
2022-04-28,GBP,0.6543
2022-04-29,USD,1.0
2022-04-29,CAD,1.2054
2022-04-29,AUD,1.2509
2022-04-29,EUR,0.9089
2022-04-29,GBP,0.6509
2022-04-30,USD,1.0
2022-04-30,CAD,1.202
2022-04-30,AUD,1.2627
2022-04-30,EUR,0.8917
2022-04-30,GBP,0.648
2022-05-01,USD,1.0
2022-05-01,CAD,1.202
2022-05-01,AUD,1.2627
2022-05-01,EUR,0.8917
2022-05-01,GBP,0.648
2022-05-02,USD,1.0
2022-05-02,CAD,1.202
2022-05-02,AUD,1.2627
2022-05-02,EUR,0.8917
2022-05-02,GBP,0.648
2022-05-03,USD,1.0
2022-05-03,CAD,1.202
2022-05-03,AUD,1.2627
2022-05-03,EUR,0.8917
2022-05-03,GBP,0.648
2022-05-04,USD,1.0
2022-05-04,CAD,1.2116
2022-05-04,AUD,1.2756
2022-05-04,EUR,0.8967
2022-05-04,GBP,0.6617
2022-05-05,USD,1.0
2022-05-05,CAD,1.209
2022-05-05,AUD,1.27
2022-05-05,EUR,0.8995
2022-05-05,GBP,0.6611
2022-05-06,USD,1.0
2022-05-06,CAD,1.201
2022-05-06,AUD,1.2493
2022-05-06,EUR,0.8905
2022-05-06,GBP,0.6568
2022-05-07,USD,1.0
2022-05-07,CAD,1.207
2022-05-07,AUD,1.2548
2022-05-07,EUR,0.8846
2022-05-07,GBP,0.6568
2022-05-08,USD,1.0
2022-05-08,CAD,1.2103
2022-05-08,AUD,1.2638
2022-05-08,EUR,0.8912
2022-05-08,GBP,0.6488
2022-05-09,USD,1.0
2022-05-09,CAD,1.2103
2022-05-09,AUD,1.2638
2022-05-09,EUR,0.8912
2022-05-09,GBP,0.6488
2022-05-10,USD,1.0
2022-05-10,CAD,1.2103
2022-05-10,AUD,1.2638
2022-05-10,EUR,0.8912
2022-05-10,GBP,0.6488
2022-05-11,USD,1.0
2022-05-11,CAD,1.2114
2022-05-11,AUD,1.267
2022-05-11,EUR,0.8975
2022-05-11,GBP,0.6458
2022-05-12,USD,1.0
2022-05-12,CAD,1.204
2022-05-12,AUD,1.2519
2022-05-12,EUR,0.8898
2022-05-12,GBP,0.6374
2022-05-13,USD,1.0
2022-05-13,CAD,1.1974
2022-05-13,AUD,1.2428
2022-05-13,EUR,0.8912
2022-05-13,GBP,0.6393
2022-05-14,USD,1.0
2022-05-14,CAD,1.1949
2022-05-14,AUD,1.2336
2022-05-14,EUR,0.8757
2022-05-14,GBP,0.6332
2022-05-15,USD,1.0
2022-05-15,CAD,1.2037
2022-05-15,AUD,1.2499
2022-05-15,EUR,0.8828
2022-05-15,GBP,0.6366
2022-05-16,USD,1.0
2022-05-16,CAD,1.2037
2022-05-16,AUD,1.2499
2022-05-16,EUR,0.8828
2022-05-16,GBP,0.6366
2022-05-17,USD,1.0
2022-05-17,CAD,1.2037
2022-05-17,AUD,1.2499
2022-05-17,EUR,0.8828
2022-05-17,GBP,0.6366
2022-05-18,USD,1.0
2022-05-18,CAD,1.2058
2022-05-18,AUD,1.2493
2022-05-18,EUR,0.878
2022-05-18,GBP,0.6383
2022-05-19,USD,1.0
2022-05-19,CAD,1.2181
2022-05-19,AUD,1.2547
2022-05-19,EUR,0.8945
2022-05-19,GBP,0.6457
2022-05-20,USD,1.0
2022-05-20,CAD,1.2213
2022-05-20,AUD,1.2655
2022-05-20,EUR,0.8994
2022-05-20,GBP,0.6437
2022-05-21,USD,1.0
2022-05-21,CAD,1.2216
2022-05-21,AUD,1.2676
2022-05-21,EUR,0.8982
2022-05-21,GBP,0.6377
2022-05-22,USD,1.0
2022-05-22,CAD,1.22
2022-05-22,AUD,1.2686
2022-05-22,EUR,0.8957
2022-05-22,GBP,0.6394
2022-05-23,USD,1.0
2022-05-23,CAD,1.22
2022-05-23,AUD,1.2686
2022-05-23,EUR,0.8957
2022-05-23,GBP,0.6394
2022-05-24,USD,1.0
2022-05-24,CAD,1.22
2022-05-24,AUD,1.2686
2022-05-24,EUR,0.8957
2022-05-24,GBP,0.6394
2022-05-25,USD,1.0
2022-05-25,CAD,1.2294
2022-05-25,AUD,1.2774
2022-05-25,EUR,0.9109
2022-05-25,GBP,0.6467
2022-05-26,USD,1.0
2022-05-26,CAD,1.2374
2022-05-26,AUD,1.2832
2022-05-26,EUR,0.9152
2022-05-26,GBP,0.6495
2022-05-27,USD,1.0
2022-05-27,CAD,1.2456
2022-05-27,AUD,1.297
2022-05-27,EUR,0.9206
2022-05-27,GBP,0.6508
2022-05-28,USD,1.0
2022-05-28,CAD,1.2476
2022-05-28,AUD,1.3094
2022-05-28,EUR,0.9178
2022-05-28,GBP,0.6538
2022-05-29,USD,1.0
2022-05-29,CAD,1.2443
2022-05-29,AUD,1.307
2022-05-29,EUR,0.9116
2022-05-29,GBP,0.6554
2022-05-30,USD,1.0
2022-05-30,CAD,1.2443
2022-05-30,AUD,1.307
2022-05-30,EUR,0.9116
2022-05-30,GBP,0.6554
2022-05-31,USD,1.0
2022-05-31,CAD,1.2443
2022-05-31,AUD,1.307
2022-05-31,EUR,0.9116
2022-05-31,GBP,0.6554
2022-06-01,USD,1.0
2022-06-01,CAD,1.2494
2022-06-01,AUD,1.3104
2022-06-01,EUR,0.9137
2022-06-01,GBP,0.6572
2022-06-02,USD,1.0
2022-06-02,CAD,1.2498
2022-06-02,AUD,1.3004
2022-06-02,EUR,0.9067
2022-06-02,GBP,0.6567
2022-06-03,USD,1.0
2022-06-03,CAD,1.2445
2022-06-03,AUD,1.2862
2022-06-03,EUR,0.8981
2022-06-03,GBP,0.6534
2022-06-04,USD,1.0
2022-06-04,CAD,1.2449
2022-06-04,AUD,1.2917
2022-06-04,EUR,0.8836
2022-06-04,GBP,0.6498
2022-06-05,USD,1.0
2022-06-05,CAD,1.25
2022-06-05,AUD,1.2956
2022-06-05,EUR,0.8914
2022-06-05,GBP,0.6523
2022-06-06,USD,1.0
2022-06-06,CAD,1.25
2022-06-06,AUD,1.2956
2022-06-06,EUR,0.8914
2022-06-06,GBP,0.6523
2022-06-07,USD,1.0
2022-06-07,CAD,1.25
2022-06-07,AUD,1.2956
2022-06-07,EUR,0.8914
2022-06-07,GBP,0.6523
2022-06-08,USD,1.0
2022-06-08,CAD,1.2434
2022-06-08,AUD,1.3094
2022-06-08,EUR,0.8959
2022-06-08,GBP,0.6556
2022-06-09,USD,1.0
2022-06-09,CAD,1.2347
2022-06-09,AUD,1.2984
2022-06-09,EUR,0.889
2022-06-09,GBP,0.6537
2022-06-10,USD,1.0
2022-06-10,CAD,1.2236
2022-06-10,AUD,1.2919
2022-06-10,EUR,0.8866
2022-06-10,GBP,0.6458
2022-06-11,USD,1.0
2022-06-11,CAD,1.2321
2022-06-11,AUD,1.2939
2022-06-11,EUR,0.8903
2022-06-11,GBP,0.6469
2022-06-12,USD,1.0
2022-06-12,CAD,1.2303
2022-06-12,AUD,1.2977
2022-06-12,EUR,0.8913
2022-06-12,GBP,0.6457
2022-06-13,USD,1.0
2022-06-13,CAD,1.2303
2022-06-13,AUD,1.2977
2022-06-13,EUR,0.8913
2022-06-13,GBP,0.6457
2022-06-14,USD,1.0
2022-06-14,CAD,1.2303
2022-06-14,AUD,1.2977
2022-06-14,EUR,0.8913
2022-06-14,GBP,0.6457
2022-06-15,USD,1.0
2022-06-15,CAD,1.2342
2022-06-15,AUD,1.2895
2022-06-15,EUR,0.8914
2022-06-15,GBP,0.6449
2022-06-16,USD,1.0
2022-06-16,CAD,1.2343
2022-06-16,AUD,1.2913
2022-06-16,EUR,0.8917
2022-06-16,GBP,0.6404
2022-06-17,USD,1.0
2022-06-17,CAD,1.2312
2022-06-17,AUD,1.3028
2022-06-17,EUR,0.8866
2022-06-17,GBP,0.6357
2022-06-18,USD,1.0
2022-06-18,CAD,1.216
2022-06-18,AUD,1.2776
2022-06-18,EUR,0.8769
2022-06-18,GBP,0.6285
2022-06-19,USD,1.0
2022-06-19,CAD,1.2271
2022-06-19,AUD,1.2914
2022-06-19,EUR,0.885
2022-06-19,GBP,0.6314
2022-06-20,USD,1.0
2022-06-20,CAD,1.2271
2022-06-20,AUD,1.2914
2022-06-20,EUR,0.885
2022-06-20,GBP,0.6314
2022-06-21,USD,1.0
2022-06-21,CAD,1.2271
2022-06-21,AUD,1.2914
2022-06-21,EUR,0.885
2022-06-21,GBP,0.6314
2022-06-22,USD,1.0
2022-06-22,CAD,1.2234
2022-06-22,AUD,1.2883
2022-06-22,EUR,0.8814
2022-06-22,GBP,0.6319
2022-06-23,USD,1.0
2022-06-23,CAD,1.2339
2022-06-23,AUD,1.2976
2022-06-23,EUR,0.8925
2022-06-23,GBP,0.6338
2022-06-24,USD,1.0
2022-06-24,CAD,1.2301
2022-06-24,AUD,1.2907
2022-06-24,EUR,0.8918
2022-06-24,GBP,0.6348
2022-06-25,USD,1.0
2022-06-25,CAD,1.2384
2022-06-25,AUD,1.2919
2022-06-25,EUR,0.8924
2022-06-25,GBP,0.6359
2022-06-26,USD,1.0
2022-06-26,CAD,1.2365
2022-06-26,AUD,1.3061
2022-06-26,EUR,0.8927
2022-06-26,GBP,0.6359
2022-06-27,USD,1.0
2022-06-27,CAD,1.2365
2022-06-27,AUD,1.3061
2022-06-27,EUR,0.8927
2022-06-27,GBP,0.6359
2022-06-28,USD,1.0
2022-06-28,CAD,1.2365
2022-06-28,AUD,1.3061
2022-06-28,EUR,0.8927
2022-06-28,GBP,0.6359
2022-06-29,USD,1.0
2022-06-29,CAD,1.2374
2022-06-29,AUD,1.3048
2022-06-29,EUR,0.8982
2022-06-29,GBP,0.6364
2022-06-30,USD,1.0
