Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Payment Method
367008,1,2023-01-02,2023-01-09,763246,28,1951,3,EUR,Cash
367009,1,2023-01-02,2023-01-04,1512558,57,934,1,USD,Credit Card
367009,2,2023-01-02,2023-01-10,1512558,57,930,8,USD,Credit Card
367009,3,2023-01-02,2023-01-06,1512558,57,1436,5,USD,Credit Card
367009,4,2023-01-02,2023-01-06,1512558,57,1547,3,USD,Credit Card
367009,5,2023-01-02,2023-01-10,1512558,57,53,5,USD,Digital Wallet
367010,1,2023-01-02,2023-01-09,1322959,66,917,1,USD,Credit Card
367010,2,2023-01-02,2023-01-08,1322959,66,39,1,USD,Credit Card
367011,1,2023-01-02,2023-01-08,507981,22,39,1,EUR,Credit Card
367012,1,2023-01-02,2023-01-09,209990,9,1653,5,CAD,Credit Card
367012,2,2023-01-02,2023-01-08,209990,9,145,3,CAD,Credit Card
367013,1,2023-01-02,2023-01-05,815458,31,1733,2,EUR,Credit Card
367013,2,2023-01-02,2023-01-06,815458,31,41,6,EUR,Cash
367014,1,2023-01-02,2023-01-09,1839627,56,1184,3,USD,Credit Card
367015,1,2023-01-02,2023-01-06,911025,42,2296,7,GBP,Credit Card
367016,1,2023-01-02,2023-01-10,1633409,63,1487,1,USD,Credit Card
367016,2,2023-01-02,2023-01-03,1633409,63,558,7,USD,Credit Card
367016,3,2023-01-02,2023-01-05,1633409,63,206,3,USD,Credit Card
367017,1,2023-01-02,2023-01-07,1612400,47,1203,4,USD,Digital Wallet
367018,1,2023-01-02,2023-01-05,1301565,59,1245,2,USD,Credit Card
367018,2,2023-01-02,2023-01-09,1301565,59,1973,4,USD,Credit Card
367018,3,2023-01-02,2023-01-07,1301565,59,731,4,USD,Digital Wallet
367019,1,2023-01-02,2023-01-03,793573,29,1947,2,EUR,Cash
367019,2,2023-01-02,2023-01-09,793573,29,1645,7,EUR,Credit Card
367019,3,2023-01-02,2023-01-04,793573,29,371,7,EUR,Credit Card
367020,1,2023-01-02,2023-01-06,799366,29,448,6,EUR,Digital Wallet
367020,2,2023-01-02,2023-01-03,799366,29,1975,1,EUR,Credit Card
367021,1,2023-01-02,2023-01-06,243917,10,1445,4,CAD,Credit Card
367021,2,2023-01-02,2023-01-08,243917,10,1624,6,CAD,Credit Card
367021,3,2023-01-02,2023-01-04,243917,10,1615,2,CAD,Credit Card
367022,1,2023-01-02,2023-01-04,942807,42,1596,1,GBP,Credit Card
367022,2,2023-01-02,2023-01-03,942807,42,1253,7,GBP,Credit Card
367022,3,2023-01-02,2023-01-04,942807,42,663,3,GBP,Credit Card
367022,4,2023-01-02,2023-01-07,942807,42,1194,6,GBP,Cash
367023,1,2023-01-02,2023-01-04,129318,2,1139,5,AUD,Credit Card
367023,2,2023-01-02,2023-01-06,129318,2,1031,2,AUD,Credit Card
367024,1,2023-01-02,2023-01-06,1713253,50,302,8,USD,Credit Card
367024,2,2023-01-02,2023-01-09,1713253,50,2105,5,USD,Cash
367025,1,2023-01-02,2023-01-06,1736623,56,1608,1,USD,Credit Card
367025,2,2023-01-02,2023-01-09,1736623,56,1641,2,USD,Cash
367025,3,2023-01-02,2023-01-06,1736623,56,1574,3,USD,Credit Card
367026,1,2023-01-02,2023-01-07,1836599,53,2218,2,USD,Credit Card
367026,2,2023-01-02,2023-01-10,1836599,53,78,1,USD,Cash
367027,1,2023-01-02,2023-01-09,1482586,53,2451,3,USD,Digital Wallet
367027,2,2023-01-02,2023-01-05,1482586,53,1645,1,USD,Credit Card
367027,3,2023-01-02,2023-01-08,1482586,53,1728,2,USD,Credit Card
367028,1,2023-01-02,2023-01-03,607356,0,976,1,EUR,Credit Card
367028,2,2023-01-02,2023-01-06,607356,0,2017,3,EUR,Credit Card
367029,1,2023-01-02,2023-01-04,1260533,66,1607,1,USD,Credit Card
367029,2,2023-01-02,2023-01-10,1260533,66,1223,7,USD,Credit Card
367030,1,2023-01-02,2023-01-06,1843882,51,2010,7,USD,Digital Wallet
367030,2,2023-01-02,2023-01-04,1843882,51,426,1,USD,Digital Wallet
367031,1,2023-01-02,2023-01-08,909014,0,120,3,GBP,Credit Card
367031,2,2023-01-02,2023-01-08,909014,0,382,2,GBP,Credit Card
367031,3,2023-01-02,2023-01-08,909014,0,1722,3,GBP,Cash
367031,4,2023-01-02,2023-01-04,909014,0,132,1,GBP,Credit Card
368000,1,2023-01-03,2023-01-07,892838,32,1440,1,EUR,Credit Card
368001,1,2023-01-03,2023-01-09,1670789,64,1598,3,USD,Credit Card
369000,1,2023-01-04,2023-01-09,1143828,37,2167,9,GBP,Credit Card
369000,2,2023-01-04,2023-01-11,1143828,37,167,1,GBP,Credit Card
369001,1,2023-01-04,2023-01-06,269337,8,1301,1,CAD,Digital Wallet
369001,2,2023-01-04,2023-01-06,269337,8,1649,4,CAD,Credit Card
369002,1,2023-01-04,2023-01-08,258316,8,1656,1,CAD,Credit Card
369004,1,2023-01-04,2023-01-06,1389462,65,1961,5,USD,Credit Card
369004,2,2023-01-04,2023-01-06,1389462,65,1991,3,USD,Digital Wallet
369005,1,2023-01-04,2023-01-10,1866637,56,183,3,USD,Digital Wallet
369006,1,2023-01-04,2023-01-08,734605,28,654,1,EUR,Credit Card
369007,1,2023-01-04,2023-01-10,571622,20,2510,3,EUR,Digital Wallet
369007,2,2023-01-04,2023-01-11,571622,20,2103,1,EUR,Credit Card
369007,3,2023-01-04,2023-01-12,571622,20,1578,3,EUR,Credit Card
369011,1,2023-01-04,2023-01-11,1664824,0,1261,2,USD,Credit Card
369012,1,2023-01-04,2023-01-12,1696695,0,1423,3,USD,Credit Card
369012,2,2023-01-04,2023-01-10,1696695,0,1656,1,USD,Credit Card
369012,3,2023-01-04,2023-01-11,1696695,0,1660,2,USD,Credit Card
369012,4,2023-01-04,2023-01-08,1696695,0,1610,6,USD,Credit Card
370000,1,2023-01-05,2023-01-06,2032025,51,1360,4,USD,Credit Card
370000,2,2023-01-05,2023-01-11,2032025,51,1158,4,USD,Credit Card
370000,3,2023-01-05,2023-01-13,2032025,51,457,2,USD,Credit Card
370001,1,2023-01-05,2023-01-10,1884908,61,1107,3,USD,Credit Card
370001,2,2023-01-05,2023-01-13,1884908,61,1591,3,USD,Credit Card
370001,3,2023-01-05,2023-01-10,1884908,61,1544,7,USD,Cash
370003,1,2023-01-05,2023-01-07,2092033,66,836,8,USD,Digital Wallet
370003,2,2023-01-05,2023-01-12,2092033,66,1529,3,USD,Credit Card
370004,1,2023-01-05,2023-01-10,1473090,43,1251,2,USD,Credit Card
370005,1,2023-01-05,2023-01-13,584095,24,1610,2,EUR,Credit Card
370005,2,2023-01-05,2023-01-07,584095,24,1594,4,EUR,Digital Wallet
370006,1,2023-01-05,2023-01-06,661636,16,1272,6,EUR,Credit Card
370007,1,2023-01-05,2023-01-09,623659,15,267,1,EUR,Digital Wallet
370007,2,2023-01-05,2023-01-09,623659,15,126,7,EUR,Credit Card
370008,1,2023-01-05,2023-01-09,183264,4,2105,1,AUD,Digital Wallet
370010,1,2023-01-05,2023-01-10,1393738,48,1709,3,USD,Credit Card
370010,2,2023-01-05,2023-01-06,1393738,48,2113,10,USD,Digital Wallet
370010,3,2023-01-05,2023-01-10,1393738,48,2088,2,USD,Credit Card
370011,1,2023-01-05,2023-01-12,1522590,47,32,2,USD,Digital Wallet
370012,1,2023-01-05,2023-01-10,1780669,53,1585,3,USD,Credit Card
370012,2,2023-01-05,2023-01-06,1780669,53,1689,2,USD,Credit Card
370013,1,2023-01-05,2023-01-06,5097,6,5,2,AUD,Cash
370014,1,2023-01-05,2023-01-12,1475886,51,1622,2,USD,Cash
370014,2,2023-01-05,2023-01-06,1475886,51,2110,1,USD,Credit Card
370014,3,2023-01-05,2023-01-13,1475886,51,1694,2,USD,Credit Card
371000,1,2023-01-06,2023-01-07,728834,30,81,2,EUR,Cash
371001,1,2023-01-06,2023-01-10,76021,2,77,3,AUD,Digital Wallet
371001,2,2023-01-06,2023-01-14,76021,2,945,2,AUD,Credit Card
371001,3,2023-01-06,2023-01-14,76021,2,1033,1,AUD,Credit Card
371001,4,2023-01-06,2023-01-13,76021,2,1581,5,AUD,Digital Wallet
371002,1,2023-01-06,2023-01-09,1955971,53,80,4,USD,Credit Card
371002,2,2023-01-06,2023-01-09,1955971,53,2171,3,USD,Cash
371003,1,2023-01-06,2023-01-07,778259,28,1074,6,EUR,Digital Wallet
371003,2,2023-01-06,2023-01-14,778259,28,127,2,EUR,Cash
371003,3,2023-01-06,2023-01-09,778259,28,333,5,EUR,Cash
371003,4,2023-01-06,2023-01-09,778259,28,1627,4,EUR,Digital Wallet
371003,5,2023-01-06,2023-01-07,778259,28,64,1,EUR,Digital Wallet
371003,6,2023-01-06,2023-01-09,778259,28,1997,3,EUR,Cash
371004,1,2023-01-06,2023-01-11,1378439,0,1305,8,USD,Credit Card
371005,1,2023-01-06,2023-01-08,1923558,48,58,1,USD,Credit Card
371005,2,2023-01-06,2023-01-13,1923558,48,32,7,USD,Credit Card
371006,1,2023-01-06,2023-01-08,1501383,0,1279,1,USD,Cash
371007,1,2023-01-06,2023-01-07,1378439,0,1639,1,USD,Credit Card
371008,1,2023-01-06,2023-01-10,2053617,50,961,1,USD,Credit Card
371008,2,2023-01-06,2023-01-13,2053617,50,1626,7,USD,Credit Card
371010,1,2023-01-06,2023-01-07,1716584,53,2491,5,USD,Cash
371010,2,2023-01-06,2023-01-14,1716584,53,1631,7,USD,Digital Wallet
371011,1,2023-01-06,2023-01-10,776266,0,458,5,EUR,Digital Wallet
371011,2,2023-01-06,2023-01-08,776266,0,1573,3,EUR,Credit Card
371011,3,2023-01-06,2023-01-07,776266,0,32,5,EUR,Credit Card
371012,1,2023-01-06,2023-01-14,363872,8,147,1,CAD,Credit Card
371012,2,2023-01-06,2023-01-13,363872,8,1576,1,CAD,Credit Card
371012,3,2023-01-06,2023-01-13,363872,8,1642,3,CAD,Credit Card
371014,1,2023-01-06,2023-01-12,1161615,40,89,4,GBP,Credit Card
371014,2,2023-01-06,2023-01-14,1161615,40,337,3,GBP,Credit Card
371015,1,2023-01-06,2023-01-11,1669745,0,1679,5,USD,Credit Card
371015,2,2023-01-06,2023-01-09,1669745,0,1659,1,USD,Credit Card
371015,3,2023-01-06,2023-01-10,1669745,0,1228,1,USD,Credit Card
371015,4,2023-01-06,2023-01-14,1669745,0,1458,4,USD,Credit Card
371016,1,2023-01-06,2023-01-12,879778,32,1704,2,EUR,Credit Card
371017,1,2023-01-06,2023-01-09,1918687,61,2084,5,USD,Credit Card
371017,2,2023-01-06,2023-01-09,1918687,61,2365,1,USD,Credit Card
371018,1,2023-01-06,2023-01-07,1041466,36,534,1,GBP,Credit Card
371018,2,2023-01-06,2023-01-09,1041466,36,1667,7,GBP,Digital Wallet
371018,3,2023-01-06,2023-01-11,1041466,36,1212,7,GBP,Credit Card
371018,4,2023-01-06,2023-01-13,1041466,36,2496,1,GBP,Credit Card
371018,5,2023-01-06,2023-01-12,1041466,36,1200,2,GBP,Digital Wallet
371018,6,2023-01-06,2023-01-09,1041466,36,1333,2,GBP,Credit Card
371018,7,2023-01-06,2023-01-07,1041466,36,2124,1,GBP,Credit Card
371019,1,2023-01-06,2023-01-11,916074,41,2506,2,GBP,Credit Card
371019,2,2023-01-06,2023-01-08,916074,41,1590,1,GBP,Credit Card
371019,3,2023-01-06,2023-01-13,916074,41,1615,2,GBP,Credit Card
371019,4,2023-01-06,2023-01-13,916074,41,2093,2,GBP,Credit Card
372000,1,2023-01-07,2023-01-13,1413890,0,148,3,USD,Digital Wallet
372000,2,2023-01-07,2023-01-14,1413890,0,1620,1,USD,Credit Card
372000,3,2023-01-07,2023-01-10,1413890,0,825,3,USD,Digital Wallet
372001,1,2023-01-07,2023-01-08,1412534,63,1286,1,USD,Digital Wallet
372001,2,2023-01-07,2023-01-14,1412534,63,1669,3,USD,Digital Wallet
372002,1,2023-01-07,2023-01-14,1718240,47,1299,7,USD,Cash
372003,1,2023-01-07,2023-01-09,527409,19,1604,3,EUR,Credit Card
372003,2,2023-01-07,2023-01-09,527409,19,141,4,EUR,Cash
372003,3,2023-01-07,2023-01-11,527409,19,83,2,EUR,Credit Card
372004,1,2023-01-07,2023-01-12,711449,30,922,9,EUR,Digital Wallet
372005,1,2023-01-07,2023-01-10,302130,9,411,3,CAD,Credit Card
372005,2,2023-01-07,2023-01-14,302130,9,75,4,CAD,Credit Card
372005,3,2023-01-07,2023-01-15,302130,9,1620,3,CAD,Digital Wallet
372005,4,2023-01-07,2023-01-14,302130,9,2366,5,CAD,Credit Card
372005,5,2023-01-07,2023-01-08,302130,9,1652,8,CAD,Credit Card
372005,6,2023-01-07,2023-01-11,302130,9,1614,8,CAD,Credit Card
372006,1,2023-01-07,2023-01-12,2095742,0,125,2,USD,Cash
372007,1,2023-01-07,2023-01-15,1982994,61,1148,4,USD,Credit Card
372008,1,2023-01-07,2023-01-11,1214363,53,183,1,USD,Credit Card
372008,3,2023-01-07,2023-01-13,1214363,53,1665,1,USD,Digital Wallet
372010,1,2023-01-07,2023-01-12,784075,29,90,7,EUR,Credit Card
372011,1,2023-01-07,2023-01-14,739625,29,1572,1,EUR,Credit Card
372012,1,2023-01-07,2023-01-14,195521,6,468,1,AUD,Cash
372012,2,2023-01-07,2023-01-12,195521,6,1560,6,AUD,Credit Card
372012,3,2023-01-07,2023-01-14,195521,6,1094,2,AUD,Credit Card
372012,4,2023-01-07,2023-01-10,195521,6,171,4,AUD,Credit Card
372012,5,2023-01-07,2023-01-12,195521,6,2265,2,AUD,Credit Card
372013,1,2023-01-07,2023-01-11,1042966,38,1259,2,GBP,Credit Card
372016,1,2023-01-07,2023-01-12,1170323,42,1581,2,GBP,Credit Card
372016,2,2023-01-07,2023-01-15,1170323,42,6,3,GBP,Credit Card
373000,1,2023-01-08,2023-01-15,1367439,0,2509,3,USD,Credit Card
373000,2,2023-01-08,2023-01-11,1367439,0,716,3,USD,Credit Card
373002,1,2023-01-08,2023-01-11,1750554,48,1859,5,USD,Cash
373003,1,2023-01-08,2023-01-14,2082534,56,67,3,USD,Digital Wallet
373004,1,2023-01-08,2023-01-12,460587,24,1765,3,EUR,Credit Card
373005,1,2023-01-08,2023-01-10,1763365,65,342,2,USD,Credit Card
373005,2,2023-01-08,2023-01-10,1763365,65,1073,1,USD,Digital Wallet
373007,1,2023-01-08,2023-01-13,351747,0,103,2,CAD,Credit Card
373007,2,2023-01-08,2023-01-14,351747,0,1455,5,CAD,Digital Wallet
373007,3,2023-01-08,2023-01-09,351747,0,1902,2,CAD,Credit Card
373008,1,2023-01-08,2023-01-13,536845,23,535,3,EUR,Digital Wallet
373008,2,2023-01-08,2023-01-14,536845,23,2089,3,EUR,Credit Card
373008,3,2023-01-08,2023-01-12,536845,23,1612,3,EUR,Credit Card
373008,4,2023-01-08,2023-01-12,536845,23,65,2,EUR,Digital Wallet
373009,1,2023-01-08,2023-01-12,1064519,0,1589,4,GBP,Digital Wallet
373010,1,2023-01-08,2023-01-12,538801,27,2492,6,EUR,Credit Card
373010,2,2023-01-08,2023-01-12,538801,27,2288,8,EUR,Digital Wallet
373010,3,2023-01-08,2023-01-14,538801,27,56,2,EUR,Credit Card
373011,1,2023-01-08,2023-01-14,82415,4,440,2,AUD,Credit Card
374000,1,2023-01-09,2023-01-12,1971983,48,737,5,USD,Credit Card
374000,2,2023-01-09,2023-01-17,1971983,48,1735,3,USD,Credit Card
374000,3,2023-01-09,2023-01-11,1971983,48,103,3,USD,Cash
374000,5,2023-01-09,2023-01-16,1971983,48,81,2,USD,Credit Card
374000,6,2023-01-09,2023-01-13,1971983,48,1624,1,USD,Credit Card
374001,1,2023-01-09,2023-01-10,2050933,47,1429,1,USD,Credit Card
374001,2,2023-01-09,2023-01-16,2050933,47,545,1,USD,Credit Card
374002,1,2023-01-09,2023-01-15,320030,8,1991,8,CAD,Credit Card
374002,2,2023-01-09,2023-01-10,320030,8,1667,8,CAD,Credit Card
374002,3,2023-01-09,2023-01-10,320030,8,2098,3,CAD,Cash
374002,4,2023-01-09,2023-01-10,320030,8,1695,1,CAD,Credit Card
374003,1,2023-01-09,2023-01-12,1188400,38,1606,1,GBP,Credit Card
374005,1,2023-01-09,2023-01-15,239647,8,1197,2,CAD,Credit Card
374006,1,2023-01-09,2023-01-10,1387959,65,1622,6,USD,Credit Card
374007,1,2023-01-09,2023-01-13,800548,31,1631,3,EUR,Credit Card
374008,1,2023-01-09,2023-01-14,789641,29,1217,4,EUR,Credit Card
374009,1,2023-01-09,2023-01-10,728541,30,538,3,EUR,Credit Card
374010,1,2023-01-09,2023-01-12,665776,12,1632,3,EUR,Digital Wallet
374010,2,2023-01-09,2023-01-16,665776,12,1048,1,EUR,Credit Card
374010,3,2023-01-09,2023-01-15,665776,12,1681,7,EUR,Cash
374010,4,2023-01-09,2023-01-17,665776,12,2104,4,EUR,Credit Card
374010,5,2023-01-09,2023-01-12,665776,12,1673,2,EUR,Credit Card
374010,6,2023-01-09,2023-01-10,665776,12,1206,2,EUR,Credit Card
374010,7,2023-01-09,2023-01-15,665776,12,961,5,EUR,Credit Card
374011,1,2023-01-09,2023-01-14,174622,5,1256,8,AUD,Credit Card
374012,1,2023-01-09,2023-01-10,1758208,0,1280,1,USD,Digital Wallet
374012,2,2023-01-09,2023-01-12,1758208,0,1276,1,USD,Credit Card
374012,3,2023-01-09,2023-01-11,1758208,0,2454,5,USD,Credit Card
374012,4,2023-01-09,2023-01-13,1758208,0,2108,1,USD,Credit Card
374013,1,2023-01-09,2023-01-17,733080,29,533,5,EUR,Credit Card
374013,2,2023-01-09,2023-01-16,733080,29,1067,10,EUR,Credit Card
374013,3,2023-01-09,2023-01-12,733080,29,1577,6,EUR,Digital Wallet
374015,1,2023-01-09,2023-01-15,1451748,55,107,7,USD,Credit Card
374016,1,2023-01-09,2023-01-17,1535357,45,9,5,USD,Cash
374017,1,2023-01-09,2023-01-17,1558964,63,1630,1,USD,Credit Card
374018,1,2023-01-09,2023-01-17,1010049,38,1615,5,GBP,Credit Card
374018,2,2023-01-09,2023-01-10,1010049,38,2075,2,GBP,Credit Card
374019,1,2023-01-09,2023-01-13,193216,6,1109,3,AUD,Credit Card
375000,1,2023-01-10,2023-01-11,1084570,0,1636,1,GBP,Credit Card
375000,2,2023-01-10,2023-01-16,1084570,0,88,7,GBP,Credit Card
375000,3,2023-01-10,2023-01-11,1084570,0,2515,1,GBP,Credit Card
376000,1,2023-01-11,2023-01-13,1862500,43,69,1,USD,Cash
376001,1,2023-01-11,2023-01-15,813685,32,131,1,EUR,Credit Card
376001,2,2023-01-11,2023-01-15,813685,32,1604,1,EUR,Cash
376003,1,2023-01-11,2023-01-17,797322,30,425,3,EUR,Credit Card
376003,2,2023-01-11,2023-01-18,797322,30,2112,4,EUR,Digital Wallet
376003,3,2023-01-11,2023-01-13,797322,30,1297,1,EUR,Credit Card
376003,4,2023-01-11,2023-01-14,797322,30,1806,2,EUR,Credit Card
376004,1,2023-01-11,2023-01-12,1905050,45,1635,6,USD,Digital Wallet
376005,1,2023-01-11,2023-01-16,305321,8,1352,3,CAD,Credit Card
376005,2,2023-01-11,2023-01-12,305321,8,2114,3,CAD,Credit Card
376005,3,2023-01-11,2023-01-19,305321,8,418,2,CAD,Credit Card
376005,4,2023-01-11,2023-01-12,305321,8,2096,3,CAD,Credit Card
377000,1,2023-01-12,2023-01-15,1589958,64,1625,6,USD,Digital Wallet
377000,2,2023-01-12,2023-01-13,1589958,64,1730,4,USD,Cash
377000,3,2023-01-12,2023-01-14,1589958,64,681,2,USD,Cash
377000,4,2023-01-12,2023-01-14,1589958,64,1675,7,USD,Digital Wallet
377000,5,2023-01-12,2023-01-16,1589958,64,422,2,USD,Credit Card
377002,1,2023-01-12,2023-01-18,1897822,50,1612,1,USD,Credit Card
377002,2,2023-01-12,2023-01-19,1897822,50,858,1,USD,Cash
377002,3,2023-01-12,2023-01-17,1897822,50,1595,2,USD,Credit Card
377003,1,2023-01-12,2023-01-20,1129200,40,1942,6,GBP,Credit Card
377004,1,2023-01-12,2023-01-13,1136143,42,460,4,GBP,Credit Card
377004,2,2023-01-12,2023-01-13,1136143,42,740,3,GBP,Digital Wallet
377005,1,2023-01-12,2023-01-15,1022980,37,1634,1,GBP,Credit Card
377006,1,2023-01-12,2023-01-18,934781,0,1432,1,GBP,Cash
377006,2,2023-01-12,2023-01-14,934781,0,1580,1,GBP,Credit Card
377006,3,2023-01-12,2023-01-17,934781,0,1462,1,GBP,Credit Card
377006,4,2023-01-12,2023-01-16,934781,0,1936,1,GBP,Cash
377006,5,2023-01-12,2023-01-14,934781,0,1007,1,GBP,Digital Wallet
377006,6,2023-01-12,2023-01-20,934781,0,320,1,GBP,Credit Card
377007,1,2023-01-12,2023-01-18,86126,6,1665,1,AUD,Credit Card
377007,2,2023-01-12,2023-01-20,86126,6,446,3,AUD,Credit Card
377007,3,2023-01-12,2023-01-19,86126,6,1176,4,AUD,Cash
378000,1,2023-01-13,2023-01-17,1062632,37,170,1,GBP,Credit Card
378000,2,2023-01-13,2023-01-20,1062632,37,1646,10,GBP,Credit Card
378000,3,2023-01-13,2023-01-16,1062632,37,1572,1,GBP,Cash
378001,1,2023-01-13,2023-01-21,1976355,66,2467,3,USD,Credit Card
378001,2,2023-01-13,2023-01-16,1976355,66,1696,2,USD,Credit Card
378002,1,2023-01-13,2023-01-14,1599716,45,1578,1,USD,Digital Wallet
378002,2,2023-01-13,2023-01-20,1599716,45,1304,1,USD,Digital Wallet
378003,1,2023-01-13,2023-01-19,774742,29,1609,1,EUR,Digital Wallet
378003,2,2023-01-13,2023-01-21,774742,29,2128,8,EUR,Credit Card
378003,3,2023-01-13,2023-01-18,774742,29,1649,5,EUR,Digital Wallet
378004,1,2023-01-13,2023-01-17,368190,8,2504,1,CAD,Cash
378004,2,2023-01-13,2023-01-15,368190,8,1646,7,CAD,Credit Card
378005,1,2023-01-13,2023-01-19,1470803,44,137,9,USD,Credit Card
378005,2,2023-01-13,2023-01-19,1470803,44,2090,2,USD,Credit Card
378005,3,2023-01-13,2023-01-16,1470803,44,2068,2,USD,Cash
378005,4,2023-01-13,2023-01-20,1470803,44,125,4,USD,Cash
378005,5,2023-01-13,2023-01-21,1470803,44,137,3,USD,Cash
378005,6,2023-01-13,2023-01-21,1470803,44,376,1,USD,Credit Card
378005,7,2023-01-13,2023-01-14,1470803,44,178,5,USD,Credit Card
378006,1,2023-01-13,2023-01-14,917347,38,1266,7,GBP,Credit Card
378006,2,2023-01-13,2023-01-17,917347,38,1621,2,GBP,Digital Wallet
378007,1,2023-01-13,2023-01-16,707089,30,1582,1,EUR,Credit Card
378007,2,2023-01-13,2023-01-19,707089,30,1634,6,EUR,Credit Card
378007,3,2023-01-13,2023-01-21,707089,30,424,4,EUR,Credit Card
378008,1,2023-01-13,2023-01-18,1035789,39,1619,2,GBP,Credit Card
378009,1,2023-01-13,2023-01-16,270736,8,336,3,CAD,Credit Card
378009,2,2023-01-13,2023-01-17,270736,8,2383,1,CAD,Cash
378009,3,2023-01-13,2023-01-17,270736,8,2248,5,CAD,Credit Card
378010,1,2023-01-13,2023-01-16,437389,19,145,3,EUR,Credit Card
378010,2,2023-01-13,2023-01-17,437389,19,2387,7,EUR,Credit Card
379000,1,2023-01-14,2023-01-17,1171088,39,443,4,GBP,Credit Card
379001,1,2023-01-14,2023-01-16,1165542,40,1253,1,GBP,Digital Wallet
379001,2,2023-01-14,2023-01-17,1165542,40,1695,8,GBP,Credit Card
379001,3,2023-01-14,2023-01-21,1165542,40,1038,8,GBP,Credit Card
379001,4,2023-01-14,2023-01-17,1165542,40,1597,1,GBP,Digital Wallet
379001,5,2023-01-14,2023-01-18,1165542,40,1589,2,GBP,Credit Card
379001,6,2023-01-14,2023-01-22,1165542,40,1182,5,GBP,Cash
379002,1,2023-01-14,2023-01-21,716015,0,106,2,EUR,Credit Card
379002,2,2023-01-14,2023-01-18,716015,0,386,2,EUR,Credit Card
379002,3,2023-01-14,2023-01-15,716015,0,1654,3,EUR,Credit Card
379004,1,2023-01-14,2023-01-15,245912,0,321,2,CAD,Credit Card
379005,1,2023-01-14,2023-01-22,1104029,37,1766,4,GBP,Digital Wallet
379005,2,2023-01-14,2023-01-22,1104029,37,1558,3,GBP,Digital Wallet
379005,3,2023-01-14,2023-01-21,1104029,37,1969,3,GBP,Credit Card
